disregard,-1.1
disrespect,-1.8
disruptive,-1.3
dissatisfied,-1.6
distract,-1.2
distracted,-1.4
distracting,-1.2
distraction,-1.6
distractions,-1
distracts,-1.3
distress,-2.4
distrustful,-2.1
disturb,-1.7
disturbance,-1.6
disturbed,-1.6
disturbing,-2.3
disturbingly,-2.3
disturbs,-1.9
divine,2.6
divinely,2.9
diving,0.3
divinity,2.7
dizzy,-0.9
doa,-2.3
dodging,-0.4
dominance,0.8
dominate,-0.5
dominating,-1.2
domination,-0.2
doom,-1.7
doomed,-3.2
dooms,-1.1
doomsayer,-0.7
doomsday,-2.8
dork,-1.4
dorks,-0.5
dorky,-1.1
doubt,-1.5
doubted,-1.1
doubtful,-1.4
doubting,-1.4
doubts,-1.2
downside,-1
drag,-0.9
dragged,-0.2
drags,-0.7
drained,-1.5
dread,-2
dreaded,-2.7
dreading,-2.4
dream,1
dreams,1.7
dreary,-1.4
droopy,-0.8
drop,-1.1
drown,-2.7
drowned,-2.9
drunk,-1.4
dubious,-1.5
dud,-1
duh,-1.8
duh-ohhh,-1.8
duh-uh,-1.8
dui,-1.8
dull,-1.7
dullards,-1.8
dulled,-1.5
dullsville,-2.4
dumb,-2.3
dumbass,-2.6
dumbbell,-0.8
dumber,-1.5
dumbest,-2.3
dumbing,-0.5
dumbwaiter,0.2
dump,-1.6
dumped,-1.7
dumping,-1.3
dumpling,0.4
dumplings,-0.3
dumps,-1.7
dumpster,-0.6
dumpsters,-1
dumpy,-1.7
duped,-1.8
dwell,0.5
dweller,0.3
dwellers,-0.3
dwelling,0.1
dyin,-3.8
dynamic,1.6
dynamics,1.1
dynamite,0.7
dynamiters,0.4
dynamiting,0.2
dysfunction,-1.8
eager,1.5
eagerly,1.6
ease,1.5
easel,0.3
easement,1.6
eases,1.3
easier,1.8
easiest,1.8
easily,1.4
easy,1.9
easygoing,1.3
ecstasy,2.9
ecstatic,2.3
eerie,-1.5
effective,2.1
effectively,1.9
efficiency,1.5
efficient,1.8
egotism,-1.4
elegance,2.1
elegant,2.1
elegantly,1.9
embarrass,-1.2
embarrassed,-1.5
embarrasses,-1.7
embarrassing,-1.6
embarrassingly,-1.7
embarrassment,-1.9
embrace,1.3
emergency,-1.6
emotional,0.6
emptied,-0.7
emptier,-0.7
emptiness,-1.9
empty,-0.8
enchanted,1.6
encourage,2.3
encouraged,1.5
encouragement,1.8
encourages,1.9
encouraging,2.4
endorse,1.3
endorsed,1
endorsement,1.3
endorses,1.4
enemies,-2.2
enemy,-2.5
energetic,1.9
energies,0.9
energized,2.3
energizer,2.1
energizing,2
energy,1.1
engage,1.4
engaged,1.7
engagement,2
engages,1
engaging,1.4
enjoy,2.2
enjoyable,1.9
enjoyed,2.3
enjoying,2.4
enjoyment,2.6
enjoys,2.3
enlighten,2.3
enlightened,2.2
enlightening,2.3
ennui,-1.2
enrage,-2.6
enraged,-1.7
enrages,-1.8
enraging,-2.8
enslave,-3.1
enslaved,-1.7
ensure,1.6
enterprising,2.3
entertain,1.3
entertained,1.7
entertainer,1.6
entertainers,1
entertaining,1.9
entertainment,1.8
entertainments,2.3
entertains,2.4
enthusiasm,1.9
enthusiast,1.5
enthusiastic,2.2
enthusiasts,1.4
entitled,1.1
envies,-0.8
envious,-1.1
envy,-1.1
erroneous,-1.8
error,-1.7
errors,-1.4
escape,0.7
escapes,0.5
escaping,0.2
esteemed,1.9
ethical,2.3
eviction,-2
evil,-3.4
evildoers,-2.4
evillest,-3.3
evils,-2.7
exaggerate,-0.6
exaggerated,-0.4
exaggerating,-0.7
excellence,3.1
excellent,2.7
excelsior,0.7
excited,1.4
excitement,2.2
excitements,1.9
exciting,2.2
exclude,-0.9
excluded,-1.4
exclusive,0.5
excuse,0.3
exempt,0.4
exhaust,-1.2
exhausted,-1.5
exhausting,-1.5
exhaustion,-1.5
exhaustive,-0.5
exhilarating,1.7
exonerating,1
expand,1.3
expands,0.4
expel,-1.9
expelled,-1
expelling,-1.6
exploit,-0.4
exploited,-2
exploiting,-1.9
exploits,-1.4
exploration,0.9
expose,-0.6
exposed,-0.3
exposing,-1.1
extend,0.7
exuberant,2.8
fab,2
fabulous,2.4
fad,0.9
faggot,-3.4
fail,-2.5
failed,-2.3
failing,-2.3
fails,-1.8
failure,-2.3
failures,-2
fair,1.3
faith,1.8
faithful,1.9
faithfulness,1.9
faithless,-1
faiths,1.8
fake,-2.1
fakes,-1.8
faking,-1.8
fallen,-1.5
falling,-0.6
fame,1.9
fan,1.3
fantastic,2.6
fantastical,2
farce,-1.7
fascinated,2.1
fascinating,2.5
fascination,2.2
fascist,-2.6
fatal,-2.5
fatalities,-2.9
fatality,-3.5
fatigue,-1
fatigues,-1.3
fault,-1.7
faults,-2.1
faulty,-1.3
favor,1.7
favored,1.8
favorite,2
favorites,1.8
favors,1
fear,-2.2
feared,-2.2
fearing,-2.7
fearless,1.9
fears,-1.8
fearsome,-1.7
feeble,-1.2
feeling,0.5
felonies,-2.5
felony,-2.5
ferocious,-0.4
ferociously,-1.1
festival,2.2
festivals,1.5
festive,2
festivities,2.1
feud,-1.4
feudal,-0.8
feuding,-1.6
fiasco,-2.3
fiery,-1.4
fiesta,2.1
fiestas,1.5
fight,-1.6
fighter,0.6
fighters,-0.2
fighting,-1.5
fights,-1.7
fine,0.8
fire,-1.4
fired,-2.6
firing,-1.4
fit,1.5
fitness,1.1
flatter,0.4
flattered,1.6
flattering,1.3
flatters,0.6
flattery,0.4
flawless,2.3
flawlessly,0.8
flexible,0.9
flirtation,1.7
flirting,0.8
flirty,0.6
flop,-1.4
flops,-1.4
flu,-1.6
flunk,-1.3
flunked,-2.1
flunking,-1.5
flunks,-1.8
focused,1.6
foe,-1.9
foes,-2
fond,1.9
fondly,1.9
fondness,2.5
fool,-1.9
fooled,-1.6
fooling,-1.7
foolish,-1.1
foolishly,-1.8
foolishness,-1.8
foolproof,1.6
fools,-2.2
forbid,-1.3
forbidden,-1.8
forbidding,-1.9
forbids,-1.3
forced,-2
forgave,1.4
forget,-0.9
forgetful,-1.1
forgivable,1.7
forgive,1.1
forgiven,1.6
forgiveness,1.1
forgives,1.7
forgiving,1.9
forgotten,-0.9
fortunate,1.9
fought,-1.3
frantic,-1.9
frantically,-1.4
fraud,-2.8
frauds,-2.3
fraudulent,-2.2
freak,-1.9
freaked,-1.2
freaking,-1.8
freakishly,-0.8
freakouts,-1.5
freaks,-0.4
freaky,-1.5
free,2.3
freebie,1.8
freed,1.7
freedom,3.2
freedoms,1.2
freeing,2.1
freelance,1.2
freelancers,0.4
freeloader,-0.7
freeloaders,-0.1
freeloading,-1.3
freely,1.9
freeman,1.7
freestyle,0.7
freeway,0.2
freeze,0.2
freezers,-0.1
freezes,-0.1
freezing,-0.4
frenzy,-1.3
fresh,1.3
friend,2.2
friended,1.7
friending,1.8
friendless,-1.5
friendlier,2
friendliest,2.6
friendliness,2
friendly,2.2
friends,1
friendship,1.9
fright,-1.6
frighten,-1.4
frightened,-1.9
frightening,-2.2
frighteningly,-2.1
frightens,-1.7
frightful,-2.3
frightfully,-1.7
frisky,1
frowning,-1.4
frustrated,-2.4
frustrating,-1.9
frustration,-2.1
frustrations,-2
fu,-3.7
fuck,-2.5
fulfill,1.9
fulfilled,1.8
fumes,-0.1
fun,2.3
funeral,-1.5
funerals,-1.6
funky,-0.4
funnel,0.1
funneled,0.1
funneling,-0.1
funnelling,0.1
funnest,2.9
funnier,1.7
funnies,1.3
funniest,2.6
funny,1.9
funnyman,1.4
furious,-2.7
fury,-2.7
futile,-1.9
fyi,0.8
gag,-1.4
gagged,-1.3
gain,2.4
gained,1.6
gaining,1.8
gains,1.4
gallant,1.7
gallantry,2.6
geek,-0.8
geeks,-0.4
geeky,-0.6
generosity,2.3
generous,2.3
generously,1.8
gentle,1.9
gentlest,1.8
gently,2
gg,1.2
ghost,-1.3
